rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_duration,koi_depth,koi_prad,koi_tce_plnt_num,koi_steff,koi_slogg,koi_srad
1,10797460,K00752.01,Kepler-227 b,CONFIRMED,CANDIDATE,1,2.9575,6.16E+02,2.26,1,5455,4.467,0.927
2,10797460,K00752.02,Kepler-227 c,CONFIRMED,CANDIDATE,0.969,4.507,8.75E+02,2.83,2,5455,4.467,0.927
3,10811496,K00753.01,,FALSE POSITIVE,FALSE POSITIVE,0,1.7822,1.08E+04,14.6,1,5853,4.544,0.868
4,10848459,K00754.01,,FALSE POSITIVE,FALSE POSITIVE,0,2.40641,8.08E+03,33.46,1,5805,4.564,0.791
5,10854555,K00755.01,Kepler-664 b,CONFIRMED,CANDIDATE,1,1.6545,6.03E+02,2.75,1,6031,4.438,1.046
6,10872983,K00756.01,Kepler-228 d,CONFIRMED,CANDIDATE,1,4.5945,1.52E+03,3.9,1,6046,4.486,0.972
7,10872983,K00756.02,Kepler-228 c,CONFIRMED,CANDIDATE,1,3.1402,6.86E+02,2.77,2,6046,4.486,0.972
8,10872983,K00756.03,Kepler-228 b,CONFIRMED,CANDIDATE,0.992,2.429,2.27E+02,1.59,3,6046,4.486,0.972
9,6721123,K00114.01,,FALSE POSITIVE,FALSE POSITIVE,0,5.022,2.34E+02,39.21,1,6227,3.986,1.958
10,10910878,K00757.01,Kepler-229 c,CONFIRMED,CANDIDATE,1,3.5347,4.91E+03,5.76,1,5031,4.485,0.848
11,11446443,K00001.01,Kepler-1 b,CONFIRMED,CANDIDATE,0.811,1.74319,1.42E+04,13.04,1,5820,4.457,0.964
12,10666592,K00002.01,Kepler-2 b,CONFIRMED,CANDIDATE,1,3.88864,6.67E+03,16.1,1,6440,4.019,1.952
13,6922244,K00010.01,Kepler-8 b,CONFIRMED,CANDIDATE,0.998,3.19843,9.15E+03,14.59,1,6225,4.169,1.451
14,10984090,K00112.02,Kepler-466 c,CONFIRMED,CANDIDATE,1,2.6302,1.31E+02,1.16,2,5833,4.407,1.022
15,10419211,K00742.01,,FALSE POSITIVE,FALSE POSITIVE,0,3.6399,1.80E+04,150.51,1,5795,4.554,0.848
16,10464078,K00743.01,,FALSE POSITIVE,FALSE POSITIVE,0,12.2155,8.92E+03,7.18,1,5043,4.591,0.68
17,10480982,K00744.01,,FALSE POSITIVE,FALSE POSITIVE,0,4.79843,7.43E+04,49.29,1,6117,4.496,0.947
18,10485250,K00745.01,,FALSE POSITIVE,FALSE POSITIVE,0,9.4378,1.05E+04,7.94,1,5152,4.517,0.786
19,10526549,K00746.01,Kepler-660 b,CONFIRMED,CANDIDATE,1,3.2875,1.29E+03,2.47,1,4856,4.583,0.696
20,10583066,K00747.01,Kepler-661 b,CONFIRMED,CANDIDATE,1,1.5821,1.91E+03,2.85,1,4537,4.648,0.672
21,10583180,K00748.01,,FALSE POSITIVE,FALSE POSITIVE,0,3.6129,3.98E+02,1.58,1,4989,4.504,0.819
22,10601284,K00749.01,Kepler-226 c,CONFIRMED,CANDIDATE,1,3.0278,8.31E+02,2.55,1,5185,4.44,0.91
23,10601284,K00749.02,Kepler-226 b,CONFIRMED,CANDIDATE,0.98,2.5984,3.63E+02,1.7,2,5185,4.44,0.91
24,10601284,K00749.03,Kepler-226 d,CONFIRMED,CANDIDATE,0.971,3.596,2.17E+02,1.3,3,5185,4.44,0.91
25,2306756,K00113.01,,FALSE POSITIVE,FALSE POSITIVE,,6.8057,2.49E+04,41.5,1,5543,4.081,1.58
26,10662202,K00750.01,Kepler-662 b,CONFIRMED,CANDIDATE,1,3.4555,8.57E+02,2.95,1,4954,4.5,0.828
27,10682541,K00751.01,Kepler-663 b,CONFIRMED,CANDIDATE,1,2.1717,9.35E+02,2.78,1,5339,4.552,0.847
28,11460018,K00769.01,Kepler-671 b,CONFIRMED,CANDIDATE,1,2.875,7.51E+02,2.3,1,5644,4.564,0.831
29,11463211,K00770.01,,FALSE POSITIVE,FALSE POSITIVE,0,1.5155,2.21E+03,4.53,1,5714,4.563,0.831
30,11465813,K00771.01,,FALSE POSITIVE,FALSE POSITIVE,0,53.412,1.81E+04,14.14,1,5520,4.466,0.983
